mold_name,model_number,release_name,color_description,release_year_start,release_year_end
Quarter Horse Mare,3353,"Three Piece Family Gift Set With Mustang Foal (1998) or Arabian Foal (1999), Mustang Stallion",dark chestnut,1998,1999
Quarter Horse Mare,8916,Quarter Horse Stallion and Mare With Quarter Horse Stallion,"bay, most with solid face, black points, most with three stockings (not off fore)",1996,1997
Quarter Horse Mare,8917,Quarter Horse Mare,"bay, most with solid face, black points, most with three stockings (not off fore)",1996,1997
Quarter Horse Mare,21061,"Collector's Edition Appaloosa Family With Quarter Horse Foal, Quarter Horse Mare",chestnut blanket,1986,
Quarter Horse Mare,703245,Brown Pinto Mare,"chestnut tobiano, darker chestnut mane/tail, four stockings",1989,
Quarter Horse Mare,712211,"""Sadie"" Classics Paint Horse Family With Quarter Horse Stallion, Quarter Horse Mare, Quarter Horse Foal",bay overo,2017,
Quarter Horse Mare,716091,"Breyer Quarter Horse Family With Quarter Horse Foal, Quarter Horse Stallion",dark chestnut,1991,
Quarter Horse Stallion,3045,"Quarter Horse Family With Quarter Horse Foal, Quarter Horse Mare","palomino, star, white or palomino mane/tail, various stockings",1974,
Quarter Horse Stallion,3045,"Quarter Horse Family With Quarter Horse Foal, Quarter Horse Mare","palomino, most with solid face, white or palomino mane/tail, various stockings",1974,1993
Quarter Horse Stallion,3045,"Quarter Horse Family With Quarter Horse Foal, Quarter Horse Mare","dark palomino/sorrel, most with solid face, palomino mane/tail, various stockings",1974,1993
Quarter Horse Stallion,8916,Quarter Horse Stallion and Mare With Quarter Horse Mare,"palomino, star, white mane/tail, various stockings",1996,1997
Quarter Horse Stallion,21061,"Collector's Edition Appaloosa Family With Quarter Horse Foal, Quarter Horse Mare","chestnut blanket, darker chestnut mane/tail",1986,
Quarter Horse Stallion,703145,Appaloosa,"extended black blanket, solid face, black mane/tail, fore stockings",1989,
Quarter Horse Stallion,712211,"""Preston"" Classics Paint Horse Family With Quarter Horse Stallion, Quarter Horse Mare, Quarter Horse Foal",grulla overo,2017,
Quarter Horse Stallion,716091,"Breyer Quarter Horse Family With Quarter Horse Foal, Quarter Horse Mare","liver chestnut, darker liver chestnut mane/tail, off hind stocking",1991,
Quarter Horse Stallion,716091,"Breyer Quarter Horse Family With Quarter Horse Foal, Quarter Horse Mare","liver chestnut, snip, darker liver chestnut mane/tail, off hind stocking",1991,
Rearing Mustang,961,Black Pinto Rearing Mustang,black pinto,2021,2022
Rearing Mustang,62203,American Dream,"blue roan, darker points",2019,2020
Rearing Mustang,301176,Wild and Free With American Quarter Horse Foal,"bay w/ blaze and one sock, partially white tail",2022,2024
Rearing Mustang,711482,Favrile,glossy multi-colored with gold pattern overlay,2021,
Rearing Mustang,712344,Nayati,glossy chestnut leopard,2020,
Rearing Mustang,712344,Nayati,dark bay pinto,2020,
Rearing Mustang,712344,Nayati,"glossy dunalino, leg barring and dorsal stripe",2020,
Rearing Mustang,712391,EEK!,"black blanket appaloosa w/ spider patterns, glow in the dark",2021,
Rearing Mustang,712459,Neva,"glossy pearly white markings over metallic blue coat, frosty silver mane and tail, decorator",2022,
Rearing Stallion,180,"Rex, Alabaster Lipizzan","alabaster, white mane/tail",1965,1976
Rearing Stallion,183,Rex,palomino,1965,1985
Rearing Stallion,185,Rex,bay,1965,1980
Rearing Stallion,613,Dapple Grey Mustang,dappled grey,2009,2011
Rearing Stallion,681,Rearing Appaloosa,blue roan blanket,2005,2008
Rearing Stallion,736,Mustang,bay roan,1998,1999
Rearing Stallion,890,"Promises, Rearing Stallion",dark bay pinto,1994,1995
Rearing Stallion,947,Silver Bay Mustang,silver bay,2019,2020
Rearing Stallion,957,"Midnight, Bronco",black,1996,1997
Rearing Stallion,1808,"""Rex"" Cloud's Legend With American Quarter Horse Foal, Morgan Foal, Warmblood Foal","cream, blaze, snip",2019,2020
Rearing Stallion,8176,Pisces,"turquoise blue with metallic blue sheen, Pisces symbol on his left hip and a stylized image of two fish swimming in opposite directions on his right hip",2015,
Rearing Stallion,10232,Auryn,"metallic burgundy coat with gold overo pinto markings, gold horn and hooves",2024,
Rearing Stallion,300332,"Santiago, Grullo Rearing Stallion with Salvador, Red Dun Foal With Warmblood Foal",grullo,2014,
Rearing Stallion,410593,Rearing Stallion,"light buckskin, no dorsal stripe",1993,
Rearing Stallion,700293,Little Chaparral,buckskin pinto,1993,
Rearing Stallion,703495,"Willow and Shining Star With black and red leather halter, Native American doll",bay blanket,1995,
Rearing Stallion,711169,Nocona,dark grey cowboy boots decorator,2013,
Rearing Stallion,711174,Corral,red bay with decorative western pattern,2013,
Rearing Stallion,712203,Crane,glow-in-the-dark black and white decorator,2016,
Rearing Stallion,720691,Rearing Stallion,chestnut pinto,2007,2008
Rearing Stallion,750013,Flicka and Yankee Classics Set With Scamper,"black with ""Flicka"" stamp on belly",2006,
Reflections Mesteño,481,Reflections Mesteño,"dun, charcoal brown points, dorsal stripe, primitive leg barring",1996,
Rojo,683,"Colorful Gift Set With Andalusian Foal, later Morgan Foal",dun,2006,2008
Rojo,1728,"Cloud's Encore With American Quarter Horse Stallion, Mesteño's Mother, Rojo, Morgan Foal","silver blue roan, blaze, black points",2015,2018
Rojo,4812,The Progeny - Gift Set Mesteño and His Yearling With Charging Mesteño,light red dun,1995,
Rojo,702995,The Progeny - Gift Set Mesteño and His Yearling With Rojo,light red dun,1995,
Rojo,750205,"Panuhu, Spotted Mustang Stallion and Honego, Foal With Andalusian Stallion",bay blanket,2007,
Rojo,750208,"Hongvi, Chestnut Pinto Mustang and Hinto, Grey Foal Box reads 750199, list on back reads 750208 With Sombra",grey,2008,2009
Rojo,750210,"Gold Dust, Palomino Mare and Sagebrush, Liver Chestnut Appaloosa Foal With Duchess",liver chestnut,2008,
Rojo,750301,Adriano and Roano With Mesteño,chestnut blanket,2001,
Rojo,750302,Alano and Mateo With Mesteño (2002) or Duchess (2003),black,2002,2003
Rojo,750401,Pirro and Eldora With Mesteño,palomino,2001,
Ruffian,256,Lula,bay,1991,1992
Ruffian,262,Colleen,chestnut/red sorrel,1993,1994
Ruffian,268,Patches,bay pinto,1995,1996
Ruffian,292,Whispers,grey blanket,1997,
Ruffian,606,Ruffian,"dark bay, star, black points, hind stocking or sock",1977,1990
Ruffian,606,Ruffian (Color variation),"bay, small star, black points, no sock/stockings",1979,1983
Ruffian,611,Chestnut Appaloosa,chestnut blanket,2009,2011
Ruffian,932,Thoroughbred/Quarter Horse Cross,palomino,2013,2016
Ruffian,2003,"Glory and Plank Jump Set With blue, yellow, and white plank jump",dun/buckskin,1995,1996
Ruffian,3350,"Misty II, Black Mist and Twister With Mesteño the Foal, Swaps",chestnut pinto,1996,1999
Ruffian,9158,Grey,light grey,2014,
Ruffian,61061,"Sport Horse Family With Morgan Foal, Warmblood Stallion",dun,2013,2018
Ruffian,62037,Race Horse & Jockey With doll and black English tack,"bay, black point, near hind sock",2016,2017
Ruffian,62204,Running Wild With Morgan Foal,"red roan, blaze, darker mane/tail and legs",2019,2022
Ruffian,300311,"Bonanza Four Piece Classics Set With Black Beauty, Duchess, Warmblood Stallion",buckskin,2009,
Ruffian,711153,Clearware Union Jack Horse,clearware blue and red,2012,
Ruffian,712201,Breyer Kids Club Deluxe Gift Set,light grey,2017,2018
Ruffian,755407,Pony Games at the Horse Park With Shetland Sheepdog,red bay,2012,2013
Ruffian,755451,Chestnut Appaloosa Sunshine Stables,chestnut blanket,2012,2013
Ruffian,780898,"Breyer Customizing Kit With paints, brushes, instructions",unfinished white,1998,1999
Running Thoroughbred,946,Grulla Paint Horse,grulla pinto,2019,2020
Running Thoroughbred,959,Buckskin Blanket Appaloosa,buckskin blanket,2021,2022
Running Thoroughbred,959BKSET,"Mustang Wild Spirit of the West, Model and Book Set","""same as 959""",2022,
Running Thoroughbred,6236,"Jetolara Cheryl White / Rider, Horse and Book Set","chestnut, blaze, stocking left hind",2023,
Running Thoroughbred,62118,Bella 2017 Horse of the Year,"buckskin, wide blaze, dark brown points, near fore and off hind stockings",2017,
Running Thoroughbred,62208,Racing the Wind With American Quarter Horse Foal,"light grey, darker grey mane/tail and knees",2020,
Running Thoroughbred,711293,Born to Run,"red, purple and blue clearware",2018,
Running Thoroughbred,712260,Bogeyman,"pearly black with colored ""slime""",2018,
Running Thoroughbred,712275,Glossy Bella,"glossy buckskin, wide blaze, black points, near fore and off hind stockings",2018,
Running Thoroughbred,712278,Kid's Club Deluxe Membership,chestnut leopard,2019,
Sagr,635,Bay Arabian,bay,1998,
Sagr,645,Fleabitten Grey Arabian,flea-bitten grey,1999,2000
Sagr,654,Arabian Stallion,light grey,2001,
Sagr,669,Arabian,chestnut,2006,2008
Sagr,671,Black Arabian,black,2003,2006
Sagr,3030,"The Black Stallion Returns Set With Black Stallion, Johar",red sorrel,1983,1993
Sagr,61004,"Classics Grooming Kit Gift Set With stained wood grooming box and sweat scraper, curry comb, hoof pick, face brush, body brush, hoof polish, electric clippers and mud scraper.",fleabitten grey,2004,2005
Sagr,61057,"Barrel Racing With Western tack, barrel, fence",light chestnut pinto,2012,2014
Sagr,62046,Chestnut Arabian and Foal With Trotting Stock Horse Foal,"chestnut, near stockings, off hind sock",2017,2019
Sagr,720055,Mistletoe and Crystal With doll and ornament,dappled grey,2008,
Sagr,730201,"Classics Grooming Kit Gift Set With grooming box, hoof pick, curry, sweat and mud scrapers, hoof polish, two brushes, clippers.",fleabitten grey,2001,2005
Scamper,477,Scamper With barrel,bay,1998,2008
Scamper,6003,Barrel Racer with Barrel With barrel.,dun,2000,
Scamper,6013,"Barrel Racing Set With saddle, bridle, doll, red barrel.",dun,2001,2005
Scamper,61089,"Barrel Racing Set With tan hackamore, black reins and western saddle, pink saddle pad, three pink and white barrels","chestnut leopard, darker chestnut points, white at top of mane",2015,2018
Scamper,62201,Barrel Racing Set,chestnut pinto,2019,2020
Scamper,701726,Prairie Fire,red roan,2013,
Scamper,711337,Scamper With three barrels,bay,2018,
Scamper,750013,Flicka and Yankee With Rearing Stallion,red chestnut,2005,2006
Scamper,B-FS-10254,"Bentley, Barrel Racing Set","flea-bitten grey, apron blaze, stocking on both rear legs",2025,
Shire,627,Shire,"dappled grey, blue and white ribbons, blaze",2002,2008
Shire,627,Shire,"dappled grey, blue and white ribbons. no blaze",2002,2008
Shire,627,Shire,"dappled grey, red and white ribbons, blaze",2002,2008
Shire,627,Shire,"dappled grey, blue and white ribbons with pink dots",2002,2008
Shire,2405,Delivery Wagon with Clydesdale Team With Shire B and blue delivery wagon,bay,2003,2004
Shire,9175,Best of British - Shire Horse Stallion with Corgi Dog,"black, blaze, black mane/tail, four high stockings, blue and white ribbons",2015,2017
Shire,703105,Tristan,shaded red dun sabino,2005,
Shire,711990,Flurry,glossy dapple grey with gold and pink ribbons,2013,
Shire,712185,Triton,"glossy black leopard, blue ribbons",2016,
Shire,711519,Black Forest,glossy black splash w/ red mane and tail decorator,2022,
Shire B,620,American Spotted Draft Horse,bay pinto,2009,
Shire B,620,American Spotted Draft Horse Uncommon color variation,glossy/semigloss bay pinto,2009,
Shire B,2405,Delivery Wagon with Clydesdale Team With Shire and blue delivery wagon,light bay,2003,2004
Shire B,711437,Yankee Doodle Dandy,"bay pinto, blue ribbons",2007,
Shire B,711991,Frosty,glossy dapple grey gold and purple ribbons,2014,
Shire B,712261,Callahan,silver filigree,2018,
Shire B,712261,Callahan,glossy silver bay,2018,
Shire B,712261,Callahan,glossy palomino sabino,2018,
Shire B,712450,Altair,"glossy blue and purple w/ silver star decoration, silver horn and hooves",2022,
Show Arabian,901,"Arabian - Dapple Bay Best in Show: features mohair manes and tails, glass eyes, horse shoes, and a presentation base.","dappled bay, haired mane/tail",2008,2009
Show Arabian,8167,Gemini,"bright yellow coat, bald face, white points, zodiac symbols of both hips",2015,
Show Arabian,703113,Onyx,glossy black,2010,
Show Arabian,711265,Marigold,glossy translucent yellow and pink,2017,
Show Arabian,712306,Zenith,"metallic purple, gold horn and hooves, multi-colored mane/tail",2019,
Show Arabian,712416,Christoff,blue clearware with silver snowflakes,2020,
Show Stock Horse,661,Ariat,dappled grey,2008,
Show Stock Horse,903,"American Quarter Horse - Dun Best in Show, with mohair manes and tails, glass eyes, horse shoes, and a presentation base.","dun, haired mane/tail",2008,2009
Show Stock Horse,931,Quarter Horse,dark bay,2013,2016
Show Stock Horse,8174,Capricorn,"glossy chestnut, shaded muzzle, lighter face, mane same color as body, tail chestnut fading to white, darker lower legs, zodiac symbols in yellow on both hips",2015,
Show Stock Horse,61037,"Classics Trail Ride Set With Western bridle, Western saddle, saddle pad, 6 inch rider doll.",palomino,2010,
Show Stock Horse,301137,"Prince Plaudit Famous Sire Collection With American Quarter Horse Mare, Trotting Stock Horse Foal",brown leopard,2010,
Show Stock Horse,301138,"Go Man Go Famous Sire Collection With American Quarter Horse Mare, Trotting Stock Horse Foal",chestnut,2010,
Show Stock Horse,301139,"Far Ute Keno Famous Sire Collection With American Quarter Horse Mare, Trotting Stock Horse Foal",palomino pinto,2010,
Show Stock Horse,712237,Calvin,bay blanket,2017,
Show Stock Horse,712237,Calvin,chestnut blanket,2017,
Show Stock Horse,712237,Calvin,metallic interference blue blanket,2017,
Show Stock Horse,B-FS-10608,Blue Roan Blanket Appaloosa,"blue roan blanket appaloosa, blaze, right rear sock",2026,
Silky Sullivan,253,T-Bone,"fleabitten grey, black points",1991,1992
Silky Sullivan,259,Andrew,"smoke grey, bald face, darker grey mane/tail, dorsal stripe, hind stockings",1993,1994
Silky Sullivan,265,Spice With neck ribbon,"bay blanket, star, black points, hind stockings",1995,1996
Silky Sullivan,603,Silky Sullivan,"chestnut, star, darker mane/tail, most with near fore stocking",1975,1990
Silky Sullivan,2004,"Buck and Hillary Gift Set With doll, neck ribbon and jump","buckskin, blaze, black mane/tail",1995,1996
Silky Sullivan,3348,"Fine Horse Family With Kelso, Mustang Foal","liver chestnut, star, off fore and hind stockings",1994,1996
Silky Sullivan,406135,"""Whirlaway"" Triple Crown Winners, Set I With Kelso, Terrang","red chestnut, star, darker chestnut mane/tail",1987,
Silky Sullivan,500301,"Classic Racehorse 3-Piece Set With Man O' War, Terrang","glossy red bay, black points, hind stockings",2001,
Silky Sullivan,710601,"Classic Racing Thoroughbreds With Kelso, Man O' War",semi glossy peach dun,2001,
Silky Sullivan,710601,"Classic Racing Thoroughbreds With Kelso, Man O' War",semi glossy rose grey (color variation),2001,
Sombra,4811,"The Challenger - Gift Set, Mesteño and Sombra With Fighting Mesteño","grulla, dorsal stripe",1994,1997
Sombra,989,"Runaway, Mustang Kiger, BLM Adopt-a-Horse",cocoa dun,1997,
Sombra,701195,"The Challenger - Gift Set, Mesteño and Sombra With Fighting Mesteño","grulla, dorsal stripe",1995,
Sombra,703795,"The Challenger - Gift Set, Mesteño and Sombra With Fighting Mesteño","grulla, dorsal stripe",1995,
Sombra,710694,"The Challenger Gift Set With Fighting Mesteño, ""The Challenger print by Rowland Cheney","grulla, dorsal stripe",1994,
Sombra,750026,Twister and Shadow With Andalusian Foal,grey blanket,2006,
Sombra,750208,"Hongvi, Chestnut Pinto Mustang and Hinto, Grey Foal With Rojo",chestnut pinto,2008,2009
Sombra,754803,Dun Appaloosa Rearing Mustang and Black Bear With Bear Cub,"dun blanket, chocolate brown points, dorsal stripe",2003,
Standing Thoroughbred,951,Mahogany Bay Thoroughbred,"bay, star, black points, fore socks",2019,2020
Standing Thoroughbred,960,Pearly Grey Trakehner,pearly grey,2021,2022
Standing Thoroughbred,4204,Decorate Your Horse With marker and gem stickers,solid black,2016,2019
Standing Thoroughbred,6172,Black Jack with Canterwood Crest's Behind the Bit,"black, snip, black mane/tail",2016,
Standing Thoroughbred,6180,National Velvet With softcover book,black pinto,2019,
Standing Thoroughbred,8181,Tally Ho,grey with hunt scene,2006,
Standing Thoroughbred,10213,Grulla Pinto,grullo overo pinto,2024,2025
Standing Thoroughbred,61098,"Heroes of the West With Standing Thoroughbred, Harper, Haflinger Foal",light grey,2017,2019
Standing Thoroughbred,62114,"Amelia, Appendix Quarter Horse 2014 Classics Horse of the Year",palomino,2014,
Standing Thoroughbred,62114,"Amelia, Appendix Quarter Horse",,,
Standing Thoroughbred,62114,Glossy Amelia,glossy palomino,2015,
Standing Thoroughbred,62207,Spotted Wonders With Warmblood Foal,grey leopard,2020,2022
Standing Thoroughbred,300352,Winona and Wapi With Warmblood Foal,"light red roan, darker head and lower legs",2016,
Standing Thoroughbred,712164,Andreus With blanket,"pearly lavender tobiano, with horn",2015,
Standing Thoroughbred,61149,Deluxe Country Stable w/ Horse Set,buckskin w/ four socks and a diamond,2021,2024
Standing Thoroughbred,B-EV-10764,Dalarna,red with Kurbits style floral motif,2026,
Standing Thoroughbred,B-FS-10654,Winner's Circle Gift Set ( Buttercup Breeze ),"bay, blaze, stocking on both rear and left front legs",2026,
Stock Horse Gelding,916,Chestnut Quarter Horse,"chestnut, blaze, darker chestnut mane/tail",2017,2020
Stock Horse Gelding,1053,Pintaloosa,red dun pintaloosa,2023,2025
Stock Horse Gelding,8131,Sir Buckingham,bay,2002,2003
Stock Horse Gelding,62045,"Palomino Morgan and Foal With Stock Horse Gelding, American Quarter Horse Foal","palomino, white points",2017,2019
Stock Horse Gelding,62060,"Le Mer, Unicorn of the Sea","seaform body, pearly mane/tail, blue legs",2021,2023
Stock Horse Gelding,8413,Le Mer & Blanket Set,"same as ""62060""",2021,
Stock Horse Gelding,61155,Western Horse and Rider,light buckskin,2023,
Stock Horse Gelding,62115,"Liam, 2015 Horse of the Year","strawberry roan, bald face, darker red chestnut mane/tail and knees",2015,
Stock Horse Gelding,701737,"New Beginnings With Stock Horse Gelding, Morgan Mare, Trotting Stock Horse Foal","bay roan blanket, near hind stocking",2016,
Stock Horse Gelding,711246,"Tschiffely's Ride Gato and Mancha With Duchess, Stock Horse Gelding","buckskin, star, black points, near socks",2016,
Stock Horse Gelding,711189,Let's Celebrate,decorator,2014,
Stock Horse Gelding,711351,RCMP Musical Ride Breyer Model,"black, star, four socks",2019,
Stock Horse Gelding,712183,Liam,"glossy strawberry roan, bald face, darker red chestnut mane/tail and knees",2016,
Stock Horse Gelding,712236,Black Beauty,"black, star, black mane/tail, off fore sock",2016,
Stock Horse Gelding,712238,Black Beauty Model and Book With book,"black, star, black mane/tail, off fore sock",2017,
Stock Horse Gelding,712347,?,"bay pinto, black points",2020,
Swaps,254,Hawk,"black, reverse ""c"" star, black mane/tail, four low stockings",1991,1992
Swaps,260,Prince,"light grey, grey mane/tail, most with dorsal stripe",1993,1994
Swaps,266,Cloud With neck ribbon.,"grey, large resist blotches/dapples",1995,1996
Swaps,290,Black Silk With neck ribbon.,"black, bald face, black mane/tail, four stockings",1997,
Swaps,604,Swaps,"chestnut, star, darker chestnut mane/tail, one or two stockings",1975,1990
Swaps,604,Swaps,"chestnut, star, darker chestnut mane/tail, one stocking",1975,1990
Swaps,3350,"Misty II, Black Mist and Twister With Mesteño the Foal, Ruffian","black tobiano, white mane, white tail with grey tip",1996,1999
Swaps,4102,"Halter and Blanket Kit With instructions, halter leather and chain, blanket material and misc. notions.","liver chestnut, lighter chestnut mane/tail, four stockings",2000,2003
Swaps,6124,"Classic Thoroughreds With Kelso, Man O' War, Swaps","chestnut, star, darker chestnut mane/tail, one or two stockings",1975,
Swaps,406254,"""Seattle Slew"" Triple Crown Winners, Set II With Man O' War, Terrang","dark chestnut, stripe, darker chestnut mane/tail",1988,
Swaps,600503,Seabiscuit,"shaded bay, black points",2003,
Swaps,712231,Scotty,bay roan blanket,2017,
Swaps,712231,Scotty,glossy dark bay tobiano,2017,
Swaps,712231,Scotty,"glossy silver bay with chrome, star",2017,
Terrang,255,Gaucho,"red roan, chestnut mane/tail, red-grey knees and hocks",1991,1992
Terrang,261,Ten Gallon,"pale tan dun, bald face, near hind stocking",1993,1994
Terrang,267,Azul With neck ribbon,"black roan, solid face, hind stockings",1995,1996
Terrang,291,Ambrosia With neck ribbon,"palomino, blaze, white mane/tail, shaded knees and hocks",1997,
Terrang,605,Terrang,"bay, black points",1975,1990
Terrang,406135,"""Count Fleet"" Triple Crown Winners, Set I With Kelso, Silky Sullivan","dark olive chestnut, dark brown mane/tail, near hind stocking",1987,
Terrang,406254,"""Secretariat"" Triple Crown Winners, Set II With Man O' War, Swaps","red chestnut, stripe, darker mane/tail, three stockings, not near fore",1988,
Terrang,410605,Count Fleet,"dark olive chestnut, dark brown mane/tail, near hind stocking",1988,
Terrang,500301,"Classic Racehorse 3-Piece Set With Man O' War, Silky Sullivan","chestnut, blaze, stockings",2001,
Terrang,712205,Coeur de Lion,"glossy metallic dunalino, star, pink snip, flaxen mane/tail, most with leg barring, dorsal stripe, four stockings",2016,
Terrang,750333,Seabiscuit and War Admiral With Man O' War,"medium bay, black points",2003,
Terrang,712373,Thoroughbred Champion,"glossy bay w/ one sock, three stockings, blaze, includes wooden presentation base",2021,
Trotting Stock Horse,619,Colorful Foals With American Quarter Horse Foal,dun,2009,2011
Trotting Stock Horse,1391,"Cloud's Legacy With Black Beauty, Duchess, Warmblood Foal",light palomino,2009,
Trotting Stock Horse,1391,"Cloud: Challenge of the Stallions With Duchess, Black Beauty, and Warmblood Foal",light palomino,2010,2014
Trotting Stock Horse,10064,"Mobile Rescue & Care Clinic With ladder, two chairs, water trough, feed bin, tack clips, Beagle and Silver Tabby.","palomino, star",2024,
Trotting Stock Horse,61036,"Classics Animal Rescue Set With blanket, first aid kit, bucket and sponge, Welsh Corgi and Silver Tabby.","bay, black mane/tail, no black on legs",2009,2012
Trotting Stock Horse,61084,"New Arrival at the Barn - Deluxe Horse & Foal Set Includes Jet Run and Trotting Stock Horse Foal, 6"" articulated doll, halter, foal blanket, fencing, rake, shovel, bucket and water trough.",bay,2014,2016
Trotting Stock Horse,62006,Pinto Horse and Foal With Ginger,chestnut pinto,2008,2009
Trotting Stock Horse,62006,Pinto Horse and Foal - Chestnut With Duchess,chestnut pinto,2010,
Trotting Stock Horse,62029,"Pet Groomer With Beagle, Silver Tabby, doll, water trough, towel, shampoo bottle, curry comb",chestnut,2018,
Trotting Stock Horse,62033,Blood Bay Warmblood and Liver Chestnut Foal With Jet Run,liver chestnut,2010,2013
Trotting Stock Horse,62046,Chestnut Arabian and Foal With Sagr,"chestnut, fore stockings",2017,2019
Trotting Stock Horse,300362,Sandy Bay Mustang Mare and Grullo Foal With Harper and Trotting Stock Horse Foal,"rose grey, star, black points, three stockings, not off hind",2018,
Trotting Stock Horse,300370,America's Wild Mustangs With American Quarter Horse Stallion,"copper bay, blaze, black points, off hind stocking",2019,2020
Trotting Stock Horse,301137,"Prince Plaudit Famous Sire Collection With Show Stock Horse, American Quarter Horse Mare, Trotting Stock Horse Foal",brown blanket,2010,
Trotting Stock Horse,301138,"Go Man Go Famous Sire Collection With Show Stock Horse, American Quarter Horse Mare, Trotting Stock Horse Foal",grey,2010,
Trotting Stock Horse,301139,"Far Ute Keno Famous Sire Collection With Show Stock Horse, American Quarter Horse Mare, Trotting Stock Horse Foal",brown pinto,2010,
Trotting Stock Horse,701737,"New Beginnings With Stock Horse Gelding, Morgan Mare, Trotting Stock Horse Foal",black leopard,2016,
Trotting Stock Horse,711994,"Poncho and Champ With striped blanket, American Quarter Horse Foal","dun, dorsal stripe, darker dun mane/tail, shaded knees/hocks, white socks",2014,
Trotting Stock Horse,712163,Kasper and Jack With American Quarter Horse Foal,black with orange jack-o-lanterns,2015,
Trotting Stock Horse,712264,Sirius & Vega With Warmblood Foal,"white, light purple shading",2018,
Trotting Stock Horse,755404,Vet Care,palomino,2012,2013
Trotting Stock Horse,755483,Blood Bay Warmblood and Liver Chestnut Foal With Jet Run,liver chestnut,2012,2013
Trotting Stock Horse,B-FS-10255,Birthday at the Barn,"dark grey/black, large star, stocking on right rear leg",2025,
Wahoo King,1274,Hot Shot With barrel,buckskin,2007,2008
Wahoo King,3354,"Wahoo King, Legendary Horse and Calf Gift Set With Roping Calf",chestnut pinto,2000,2001
Wahoo King,6002,Roping Horse and Calf With Roping Calf,bay,2000,
Wahoo King,6014,"Calf Roper Set With rider, western saddle and bridle, Roping Calf",bay,2001,2004
Wahoo King,B-CS-10435,Rambler,"glossy grullo tobiano, blaze, stockings",2025,
Wahoo King,B-CS-10435,Rambler,"glossy bay varnish semi-leopard appaloosa, small star",2025,
Wahoo King,B-CS-10435,Rambler,"glossy dappled grey, stocking on both rear legs",2025,
Walking Draft Horse,1052,Brabant,blue roan,2023,2025
Walking Draft Horse,5479,Grey Percheron with TSC Blanket,light grey,2020,
Walking Draft Horse,10083,Draftula,"colourshift black, purple and red base, white pinto bat inspired glow in the dark markings",2024,
Walking Draft Horse,62205,Mighty Muscle,"red bay, snip, black points, near hind sock",2019,2020
Walking Draft Horse,62214,"Solaris, Unicorn","metallic chestnut, glitter in mane/tail, four low stockings",2020,2021
Walking Draft Horse,711379,Greenman,green decorator,2020,
Warmblood Foal,942,Colorful Foals: bay pinto and chestnut With Haflinger Foal,chestnut,2011,2014
Warmblood Foal,1391,"Cloud's Legacy With Black Beauty, Duchess, Trotting Stock Horse Foal",light bay,2009,
Warmblood Foal,1391,"Cloud: Challenge of the Stallions With Duchess, Black Beauty, Trotting Stock Horse Foal",light bay,2010,2014
Warmblood Foal,1740,Black Caviar Mare & Foal Best of Australia With Warmblood Mare,"bay, star, black mane/tail, two fore socks",2015,2016
Warmblood Foal,1808,"""Pride"" Cloud's Legend With Rearing Stallion, American Quarter Horse Foal, Morgan Foal",buckskin,2019,2020
Warmblood Foal,61047,"Classics Pet Sitter With 6"" articulated and fully clothed doll, Beagle, cat, foal blanket, water bowl, brush and ball.",black pinto,2011,2014
Warmblood Foal,62008,Warmblood Horse and Foal With Warmblood Stallion,dappled grey,2008,2010
Warmblood Foal,62028,"Day at the Vet With doll, Jack Russell Terrier, Calico Cat, vet bag, stethoscope, bucket","buckskin (?), star, black points, near hind stocking",2018,
Warmblood Foal,62041,Chestnut Semi-Leopard Appaloosa Mare & Chestnut Blanket Appaloosa Foal With Black Beauty,chestnut blanket,2014,2016
Warmblood Foal,62206,Zoe and Xander Unicorns With American Quarter Horse Foal,blue,2019,2021
Warmblood Foal,62207,Spotted Wonders With Standing Thoroughbred,chestnut leopard,2020,2022
Warmblood Foal,62301,"Birthday at the Barn With Harper, doll, Cantering TB Mare",dark chestnut,2020,
Warmblood Foal,65001,Chestnut Semi-Leopard Appaloosa Mare & Chestnut Blanket Appaloosa Foal With Black Beauty,chestnut blanket,2018,
Warmblood Foal,300319,"El Blanco, Grey Stallion, with Sedonna, Red Roan Colt With Mesteño",red roan blanket,2012,2014
Warmblood Foal,300332,"Santiago, Grullo Rearing Stallion with Salvador, Red Dun Foal With Rearing Stallion",red dun,2014,
Warmblood Foal,300352,Winona and Wapi With Standing Thoroughbred,"red chestnut, slightly darker mane/tail",2016,
Warmblood Foal,711999,"Glitter and Gem With Mariah, iridescent purple blanket with yellow trim","palomino, white mane/tail, shaded muzzle, four stockings",2014,
Warmblood Foal,712264,Sirius & Vega With Trotting Stock Horse Foal,"blue/purple interference coat, gold hooves and horn",2018,
Warmblood Foal,750211,"Red Rain, Red Roan Stallion and Raindrop, Bay Roan Foal With Mesteño",bay roan,2008,
Warmblood Foal,755405,"Pet Adoption With Calico Cat, Beagle",dun,2012,2013
Warmblood Foal,B-FS-10251,Power & Precision - Horse and Foal Set,"palomino, star, snip, stockings on both rear and left front legs",2025,
Warmblood Mare,616,Appendix Quarter Horse,palomino,2009,2011
Warmblood Mare,941,Grey Selle Francais,light grey,2011,2018
Warmblood Mare,941,Glossy Grey Selle Francais,glossy light grey,2019,
Warmblood Mare,957,Coppery Chestnut Thoroughbred,"coppery chestnut, star, hind socks",2021,2022
Warmblood Mare,1740,Black Caviar Mare & Foal Best of Australia With Warmblood Foal,"semigloss dark bay, black points",2015,2016
